show_title,cumulative_weeks_in_top_10
The (Almost) Legends,2
The Blacklist,2
The Legend of Tarzan,2
The Lost Patient,2
Conquer: Lahad Datu,2
The Judge,2
Con Mum,2
The Kings of the World,2
Collision,2
The Kitchen,2
Code Name: Emperor,2
Code 8,2
The Lady of Silence: The Mataviejitas Murders,2
Close to Home: Murder in the Coalfield,2
Cleaner,2
"The Billionaire, The Butler, and the Boyfriend",2
The Hunger Games: Catching Fire,2
The Hunt,2
The Eternaut,2
The Equalizer 2,2
The Equalizer,2
The Envoys,2
The Ice Road,2
The Girl from Oslo,2
Chhaava,2
Cheer,2
The Girl in the Mirror,2
Caged Wings,2
Chandigarh Kare Aashiqui,2
Central Intelligence,2
Centauro,2
Caught in the Web: The Murders Behind Zona Divas,2
Catering Christmas,2
Catching Killers,2
The Four of Us,2
The Golden Hour,2
The Greatest Night in Pop,2
Castlevania: Nocturne,2
Carandiru,2
Car Masters: Rust to Riches,2
Chaos: The Manson Murders,2
The Deep End of the Ocean,2
The Decameron,2
The Dead Don't Die,2
Call Me Chihiro,2
Can I Tell You A Secret?,2
The Dad Quest,2
The Croods: A New Age,2
The Creature Cases,2
The Interest of Love,2
The Conference,2
The Entitled,2
The Endless Night,2
The Hill,2
Cigarette Girl,2
Christmas with You,2
Christmas on Mistletoe Farm,2
Christmas as Usual,2
Christmas Full of Grace,2
The Guide to the Perfect Family,2
Choose or Die,2
Choose Love,2
The Hatchet Wielding Hitchhiker,2
The Four Seasons,2
The Figo Affair: The Transfer that Changed Football,2
The Helicopter Heist,2
The Doomsday Cult of Antares de la Luz,2
Sly,2
Black and Blue,2
Sky Rojo,2
Spider-Man: Into the Spider-Verse,2
Spider-Man: Far from Home,2
Spider-Man: Across the Spider-Verse,2
Special Ops: Lioness,2
Sounds Like Love,2
Sosyal Climbers,2
Somos.,2
Snitch,2
Bubble,2
Squared Love All Over Again,2
Spy Ops,2
The Mystery of Marilyn Monroe: The Unheard Tapes,2
Deep Fear,2
Death Whisperer 2,2
Death Whisperer,2
Death Before the Wedding,2
The Outreau Case: A French Nightmare,2
Dead Man Down,2
The Pacific,2
Spider-Man: No Way Home,2
Subservience,2
Sniper: Ultimate Kill,2
Bhola Shankar,2
Doctor G,2
Doce Família,2
Sintonia,2
Sins of Our Mother,2
Disaster Holiday,2
The Perfect Find,2
The Perfect Mother,2
Dirty Pop: The Boy Band Scam,2
The Perfumier,2
"The Pig, the Snake and the Pigeon",2
Deliver Me,2
The Platform,2
Devil May Cry,2
Bigbug,2
Single All The Way,2
Billionaire Island,2
Sniper: Ghost Shooter,2
Smurfs: The Lost Village,2
Designated Survivor,2
Bionic,2
Departure,2
Den of Thieves 2: Pantera,2
Delivery by Christmas,2
"Devotion, a Story of Love and Desire",2
Surviving Summer,2
Supersex,2
The Man with 1000 Kids,2
Super Crazy,2
